關鍵字,選區,編號,姓名,政見
公園,[縣(市)議員]屏東縣第1選舉區,4,蘇義峰,"一、督促縣府積極爭取高鐵南延至恆春半島，帶動屏東縣經濟發展及觀光產業。
二、督促縣府爭取興建從屏東市高屏大橋沿台一線至高雄市中心的高架快速道路，解決高屏通勤交通阻塞問題。
三、督促縣府爭取將高雄市捷運從大寮站延伸至屏東市，並建立「高屏生活圈」。
四、督促縣府儘速遷移大武營區，但要保留營區隊史館及傘訓場地等自然文化資源，並規畫成為屏東市南區市民運動休閒的公園。
五、督促縣府儘速完成孔廟文化園區的軟硬體規劃開發案。
六、督促縣府儘速選址興建屏東縣立游泳池。
七、建請縣府將屏東綵燈節列為每年常態性活動，屏東綵燈節點亮萬年溪，展現屏東水岸景色及人文特色。
八、建請縣府推動屏東市火車站前，包括光復路、民族路、逢甲路、中山路及中正路的周邊商圈，結合觀光夜市予以規畫整合，成為市區觀光經濟商圈，帶動屏東縣市經濟成長。
九、建請縣府擴大65歲以上長者補助裝置假牙，不侷限於中低收入戶。"
公園,[縣(市)議員]屏東縣第2選舉區,3,何春美,"1.結合高樹鄉生態公園，創造地方觀光新亮點，活絡產業生機。
2.加強新豐休閒農業區溫泉監測與鑿井落實，以帶動地方產業觀光。
3.建立屏北觀光，整合休閒農業、藝術、文化、產業為複合型休閒景點。
4.督促屏2-1線道路開闢工程及屏11線道路拓寬工程與高樹鄉C幹線雨水下水道工程。
5.督促政府重視兒童、原住民、新住民及大陳義胞的權益，照顧弱勢團體及提倡兩性平權。
6.督促政府建立農特產品產地認證及生產履歷、協助農會行銷農特產品，增加農民收益。"
公園,[縣(市)議員]屏東縣第2選舉區,10,盧文瑞,"文瑞擔任阿里港鄉長以及縣議員任內的日子裡來，無時無刻皆以阿里港鄉親福祉為依歸，全鄉道路基礎建設大致完成，路燈更新、河堤美化、老街重建、鄉運、阿里港國際馬拉松及各項文化活動舉辦，皆為豐富阿里港鄉民生活，締造一個璀璨非凡的阿里港。再者，期待未來一本服務鄉民的初衷，繼續支持文瑞對鄉政的推展。
一、為推廣里港觀光展，於市中心主要道路全面景觀美化。
二、強身健國其重要性，積極爭取經費舉辦鄉運、國際馬拉松。
三、教育為百年大計，爭取經費整修鄉內國中、小環境。
四、河堤公園綠美化、結合社區志工、周邊相關產業及推廣屏北農特產，為屏北觀光及產業帶來新契機。
五、阿里港跨年晚會已連續舉辦多年，遠近馳名。將積極爭取經費擴大辦理。
六、深入村內建設，各村廟埕廣場景觀再造。"
公園,[縣(市)議員]屏東縣第6選舉區,1,李志偉,"一、鄉里第一、民眾為首。
二、開創新局、爭取建設。
三、為民服務、為民謀福。
四、一本初衷、矢志不變。
五、解決師資缺額問題、提昇教育品質與孩子的競爭力。
六、積極爭取經費整治區域內排水系統，及農水路道路改善工程。
七、敦促政府全方位照顧農、漁民，爭取農、漁民權益與福利。
八、督促墾丁國家公園管理辦法再檢討、保障居民權益。"
公園,[縣(市)議員]屏東縣第6選舉區,3,周志仲,"一、督促政府早日完成恆春觀光鐵道建設，積極爭取興建屏南快速道路並活化恆春機場
，打造快速便捷的交通網絡，建立緊急醫療後送及核安事故疏散動脈，帶動經濟、運輸及觀光發展。
二、督促政府儘速完成恆春旅遊醫院醫療大樓興建工程，提升枋山、獅子、車城、牡丹、恆春及滿州等鄉鎮居民醫療品質。
三、嚴格監督核三廠運轉安全及核廢料處理，保障恆春半島鄉親生命財產安全，爭取提高回饋額度。
四、爭取鬆綁墾丁國家公園不合時宜法規限制，保障國家公園區內居民應有權益。
五、監督三軍聯訓基地做好演訓安全、噪音管制及山坡地水土保持，落實執行回饋機制，維護恆春車城鄉親安全安靜的生活環境。
六、督促政府落實農漁民照顧，暢通農漁產品銷售管道，定時舉辦行銷活動，提高農漁民收入，保障農漁民權益。
七、爭取興建恆春地區藝文展演場館，宏揚恆春傳統民謠及客家、原住民傳統文化，提升居民藝文生活水準，發展文化創意產業。
八、督促政府落實執行長照2.0計畫，改善老人生活品質，減輕家庭照顧負擔。
九、督促縣政府加速完成屏200線及屏155線等縣道拓寬工程，保障用路人行的安全，改善恆春半島旅遊道路品質。"
親子,[縣(市)議員]屏東縣第6選舉區,4,郭麗玲,"1.監督縣政，提昇行政效率。
2.專業問政，做好全民服務。
3.爭取補助經費改善教學環境，並提昇親子友善環境的設置與利用。
4.協助各村落中小學增加電腦周邊設備，讓資訊系統普及化，縮短城鄉差距。
5.擴大教育職訓機會，減少失業人口。
6.推動全民體育，提昇本縣體育水準。
7.輔導農業轉型，推動精緻休閒農業漁業之共同產銷制度，並連結觀光方案能創造更多商機及就業機會。
8.要求縣政府重視婦女及幼童安全，請求管理單位，除了貼心設備的設置並能妥善輔導及管理公共婦幼設施。
9.擴充偏鄉照明及監視系統設備，保障婦幼居家安全。
10.爭取枋山鄉、獅子鄉、車城鄉、牡丹鄉、恆春鎮、滿州鄉等，現任軍、警、公、教人員偏遠加給，降低流動率，留住人才並能長期規劃鄉鎮願景。"
公園,[縣(市)議員]屏東縣第6選舉區,2,曾瓊慧,"1.爭取65歲以上長輩免繳健保費及假牙補助，並增設老人日間照顧中心，提供失能、失智照顧服務。
2.爭取經費提升社區關懷據點功能，並增設長照中心以利照顧長輩。
3.爭取6歲以下嬰幼兒每月補助生活、教育費6000元。
4.成立弱勢家庭子女免費課輔班、免費婦女技能班、免費法律諮詢服務中心。
5.推廣無障礙空間，爭取無障礙公車、低底盤公車以利大眾行的方便。
6.爭取興建風雨球場及各村里設置緊急醫療設備。
7.推廣社區營造、農村再生及深度人文健康旅遊，以利觀光。
8.監督縣政府做好防災排水設施及環境公共衛生。
9.爭取核三廠、軍方回饋金能落實給居民享益。
10.爭取修改墾丁國家公園法中不合時宜阻礙在地居民生活之法令。
11.在符合環保法規情況下，爭取打通台26線旭海至台東南田最後5公里路段，以作為核三廠緊急避難道路，均衡區域發展，確保居民「交通平權」。"
公園,[縣(市)議員]屏東縣第15選舉區,3,蔡天成,"1.堅持九二共識，促進兩岸和平發展，遠離兩岸發生戰禍。
2.引領海外觀光客含陸客來台灣觀光，提振台灣經濟發展，帶動地方經濟繁榮。
3.提案督促政府針對牡丹鄉、車城鄉、恆春鎮、滿州鄉四鄉鎮建設打造深度旅遊區的願景：成為南台灣旅遊重鎮。
4.積極配合政府推動長照2.0以平衡年輕族群少子化的隱憂，免有後顧之憂。
5.針對台灣，尤其屏東縣內農漁產品銷往中國大陸，（契作）增加農民收入，達到零滯銷、零庫存使命必達。
6.提案向林務局爭取開放林班地解編後放領給民眾。
7.提案建議政府提高農林禁伐補助款。
8.繼續向相關單位爭取提高牡丹鄉各回饋金，以利輔助牡丹鄉推廣基層建設及社會福利。
9.提案重視老弱婦孺相關福利，並協助重症病患爭取社會福利，並妥善安排就醫就養事宜。
10.積極推動部落公園化，以配合推動深度旅遊行程，提昇部落推動部落觀光能見度。
11.積極推動兩岸民間交流，互設姊妹鄉。"
公園,[縣(市)議員]屏東縣第8選舉區,4,潘世杰,"承諾存在：選前交代、選後存在，成立平地原住民專屬的3443服務團隊，在第一線持續服務。 
並肩蛻變：堅持保留並尊重原民傳統文化，連結各部落打造體驗式觀光景點，平衡生態保護與經濟效益，融合地方創生，創造就業機會。 
戮力守護：守護鄉土，力求修正國家公園法，取回恆春鎮、滿州鄉土地所有人的使用權。 
實際關懷：結合政府資源，灌注於平地原住民的長期照顧需求。 
科技教育：以網路科技超越城鄉差距，推廣可汗學院與均一教育平台充實偏鄉教育。 
穩定交通：重點督促兩大主題─屏東縣與外縣市連結，以及恆春半島與都會區連結的建設方向。拒絕模糊帳
；必定通盤評估、要求交通品質。 
安心醫療：針對屏東縣高齡化趨勢，同步監督就醫途徑與醫療設施的建設進度。"
公園,[鄉鎮市長]臺東縣關山鎮,1,戴文達,一、延續推動鎮公所四年重大推動計劃工作，打造麗景縱谷，慢城樂活宜居關山。二、領導全縣十六鄉鎮業務績效考核評比第一名的公所團隊，建立清廉.效率.主動.負責.服務.責任的精神態度，全方位服務鎮民。三、親水公園遊憩用地變更使用執照取得，訂頒興辦事業計劃獎勵投資管理條例。四、聯外快速道路興建爭取規劃，連結花東快速道路網，便捷縱谷交通需求。五、關山都市計劃通盤檢討，公有河川地撥用開發放領，不合時宜用地解編.還地於民。六、推動有機無毒農特產關山米認證標章，建立發展品牌精緻農業行銷。七、爭取興建綜合運動展演場館球場強化本鎮運動人口倍增計劃。八、社會福利低收入戶.長照計劃，文化部落健康站.單親.外配.長者照護就養。九、爭取花東基金.輔導社區產業農村再生營造計劃，打造亮麗新故鄉。十、中央縣管七大河川整治.疏濬.堤防加固.野溪整治.鎮內排水環境清溝消毒。十一、原住民保留地解編.清查.放領原住民母語與客語認證教學.技藝傳承交流。十二、全力爭取環保署養殖廢氣物沼渣沼液再利用密閉式發電計劃。
公園,[鄉鎮市長]臺東縣大武鄉,2,黃建賓,"一、全面提昇鄉內上網品質，並於公共場所增設免費無線網路系統，覆蓋全鄉並建置鄉政網路溝通平臺直接與鄉民對話。
二、協助增設大武漁港公共設施，改善漁港周邊環境，提升觀光價值並積極爭取經費，暢通航道，期使漁民全年能安心出海作業，改善漁民生
        計。
三、結合部落、文化、農業、旅遊與休閒產業總體發展，積極推動農業六級產業化，創造附加新價值，增加農民及鄉內業者收益。
四、結合各界資源，開闢青年資訊共享平台，協助返鄉青年創業就業機會，鼓勵青年積極參與鄉內公眾事務。
五、擴充本鄉第一公墓用地，改建納骨塔、停柩室，增設殯葬等設施，給予亡者恆久、清靜地安心長眠，建立優質殯葬管理環境。
六、積極爭取中央補助興建行政大樓，整合各公務機關，減少民眾洽公往返時間。
七、健全鄉公所人事制度，提昇為民服務品質，增設單一窗口，簡化行政程序。
八、 持續改善道路、農路及排水系統等基礎建設，打造良好的生活環境。
九、 每年定期舉辦各類型之大型活動，凝聚鄉民共識，活絡本鄉朝氣，提高本鄉能見度。
十、 推動各部落文化傳承工作，協助各部落祭典自主化。
十一、 活化金龍湖、各景點、公園，長期專人維護公共設施，環境整理、垃圾及雜草清除，提供鄉民良好的休閒場所，吸引外來遊客駐足遊憩,
             提高使用率。
十二、落實政府採購法，各項勞務、財物及工程採購，皆依法公平，公開辦理招標，確保採購品質，減少弊端。
十三、重新檢討鄉有不動產標租事宜,以符合民眾對鄉政的期待。
十四、配合政府長照計畫，結合鄉內各社團協會，積極協助推動銀髮族相關福利政策。"
公園,[鄉鎮市長]臺東縣延平鄉,6,胡秋金,"1、推動本鄉觀光產業發展，建造桃源到紅葉溫泉一座漫步雲端之天空廊道，結合鄰近景點以振興地方繁榮。
2、打造綠色故鄉，鄉公所至蝴蝶谷一條綠色大道，開啟台東生態旅遊新動線。
3、促進協助鄉民經營紅葉溫泉，提昇民間參與公共建設。
4、建設各村一座運動公園，設置運動設施提供鄉民運動強身的場地。
5、以景觀化打造修建各村祭祀廣場，傳承與提昇文化交流。
6、修建各村入口及活動中心之地方意象圖騰提振觀光。
7、強化國中小英文及母語教育，提昇教育競爭力。
8、儘速完成紅葉第二批受災戶補償及土地之處理及配售。
9、延續前任鄉長未完成各項建設，延平長照中心，綜合體育場看台，紅葉溫泉，馬夏兒園鄉農場展示中心整修工程。"
親子/公園,[鄉鎮市長]花蓮縣花蓮市,3,張千駿,"1.促請縣政府撤銷「香榭大道」計畫。打開溝仔尾的蓋子，讓紅毛溪重見天日，建設沿岸成為友善親水空間，活化舊城區的歷史文化並促進周邊商圈繁榮。
2.與奧美整合行銷傳播集團合作，成立花蓮市設計與行銷中心，將設計力注入所有建設的軟硬體之中，並全力推展國際行銷。
3.推動於學校操場興建地下停車場，徹底解決市區停車問題。
4.爭取中央專案預算，加速完成佐倉公墓A區的遷墓作業，打造花蓮市的親子共遊森林公園。
5.美化全市老舊街廓與房屋立面，提供市民與遊客最棒的街道漫步體驗。
6.推動遷移花蓮憲兵隊誠正營區，創建全國環境最優美、生活機能最優質的青年創業基地。
7.推動與台灣港務公司合作，營造濱海觀光遊憩廊帶，並連結美崙溪沿岸及紅毛溪親水空間，使花蓮市成為台灣東部的水景之都。
8.四年內在全市種植一百顆大樹，打造台灣東部的森林之都。
9.向行政院原民會爭取預算，推動原住民部落產業發展。
10.配合縣政府進行市立殯儀館遷移。"
親子,[鄉鎮市長]花蓮縣花蓮市,2,鄧姚文,"大花蓮市：市政十二要求「佈開優形，公協安親，執行國育」
1.佈局提振觀光事業發展
2.開創新局
3.優雅城市
4.形象花蓮
5.公益花蓮，關懷受暴婦女、更生人、新住民、單親子女
6.協和-建立市政平台共創生機
7.安養-孤老有依病殘看護
8.親子注重倫理注重身教
9.執行-市政建設落實完成
10.文化-建立信念再創花蓮
11.國際賽事展示讓世界看見花蓮
12.育兒津貼，青年留住，尊重原住民融合。
姚文：只有一顆認真、善良、純正的心「那正是花蓮之心」每一個花蓮人的初心，不怕困難「因為認真」，不怕邪魔歪道「因為善良」，不怕沒人提攜「因為一顆純正的心念」，所以我願意，因為我願意全職全心全意為花蓮市政付出，我們知道這20年來花蓮市民付出的代價就是「花蓮市政沒有進步，年輕人沒有自信」花蓮人不是這樣。姚文：有明確的目標和意圖會認真於「市政建設」「市政執行」「市政創新」。姚文：有信心縣政和市政一條心，花蓮市一定可以的。"
公園,[鄉鎮市長]花蓮縣玉里鎮,1,龔文俊,"1、辦理虹橋親水公園建置。
2、辦理水圳市場環境改善。
3、爭取經費辦理自強路銜接新興街道路新闢。
4、爭取經費辦理黑熊館周邊暨舊游泳池改善。
5、都市計畫道路徵收補償執行。
６、建置節能路燈照明。
７、清潔隊部遷移住宅區，提昇市區民眾居住品質。
８、爭取火車站前停車場管理權，改善停車亂象。
９、爭取經費辦理花７１縣聯絡道路改善。
１０、辦理赤科山聯絡道路改善。
１１、持續爭取經費辦理原民部落公共設施改善。
１２、爭取一部落一聚會所。
１３、賡續爭取經費辦理客家收冬戲，傳承客家文化。"
公園/遊戲,[鄉鎮市長]花蓮縣新城鄉,1,郭彩寶,"一、鄉政公正、公開、透明、提升行政效率。
二、清廉執政、要求所有公職人員嚴守分際，不貪贓枉法，事事以鄉民利益優先。 
三、設置溝通平台，收納鄉民意見，有效推動各項事務。
四、爭取各項社會福利補助，加強老人、原住民、弱勢族群及新住民的關懷與照顧。
五、正視族群發展，宏揚各省、原住民、閩南、客家文化。
六、爭取經費，改善鄉內各部落聚會所及活動中心。
七、提升觀光業服務品質及環境美化與安全措施。 
八、擴大民眾參與鄉政，邀請鄉民集思廣益投入參與式預算規劃。
九、落實兒童「遊戲權」，推動新城鄉第一座特色公園。
十、推廣「老人居家防跌」概念，免工錢進入家戶安裝防跌扶手，發展社區換工的「免費照
    顧平台」。
十一、極力爭取國發會『設計翻轉、地方創生』計畫補助，活絡本鄉社區經濟。
十二、輔導地方青年返鄉創業，扶植在地新企業，落實地方創生。"
公園,[鄉鎮市長]花蓮縣瑞穗鄉,1,許德志,"1.爭取醫療專車
2.活化瑞美公園
3.提高生育補助
4.加快溫泉區的開發
5.開發虎頭山飛行傘遊憩區
6.成立瑞穗商圈
7.奇美文化館部落自治
8.輔導各村發展在地特色產業
9.打造瑞穗親水公園
10.開辦課程輔導婦女、新住民、原住民培育第二專長
11.關心農民設置農產資訊平台增加通路
12.廣納民意，全心全力為民服務"
親子/公園,[鄉鎮市長]花蓮縣秀林鄉,1,"王玫瑰Sitang Yuci","一、各村普設文化健康站；拓展整合社福資源網絡；健全社區組織落實政策推行；弱勢族群的福利照顧；輔導證照取得就業機會。
二、增加崇德至佳民部落醫療巴士及延長南區部落醫療巴士至水源部落；增設和平復康巴士。
三、賡續並強化農業生產環境、建置銷售平台；積極解決他項權利未辦繼承登記及協助部落劃設傳統領域範圍。
四、設置民族文化創意館、工藝文化故事館；活化太魯閣文創園區，與部落共同永續經營；推動親子閱讀普及化，故事媽媽專職化。
五、落實民意溝通協調，提升落實行政資訊傳達；強化良善村鄰長及部落會議，尊重部落發展。
六、檢討回饋金管理委員會組織建構及運作機制，以公平、公正、公開之方式落實回饋之精神與目的。
七、提升環保人員職安及衛教訓練；推動資源回收站及輔導個體回收戶；重視並解決部落生活環境污染之問題；活化廚餘堆肥再利用，與農民合作推動製作有機土壤。
八、充實內部設備建置完善運動休閒場所；增設運動公園、龍舟划水道、籃球場及集會所週邊空間之活化與運用；賡續爭取經費興建秀林鄉特色行政大樓、運動休閒場館、休閒車道等相關運動休閒設施；結合部落歷史營造入口意象，打造部落特色，創造部落傳承與就業之機會。
九、推動年滿18至40歲青年人力家戶訪查計畫，深入瞭解家庭生活及就業情形。
十、積極培植優秀教保專業人才，適當調整降低幼兒收托年齡。
十一、賡續發展規劃中部落之自然生態資源區域，整合部落產業及人才，推動部落觀光發展，增進經濟效益。"
親子,[鄉鎮市長]澎湖縣馬公市,2,黃健忠,"一、加強發展社區觀光特色。
二、活化市有資產，充裕市庫。
三、照扶弱勢及特境家庭。
四、加強老人照護及親子友善空間設施。
五、街景藝術亮化-美麗馬公。
六、強化市場環境整理。
七、加強基礎建設，強化公所與里辦事處便民服務措施。
八、推動城市觀光交流及加強科技觀光城市導覽，提昇馬公觀光能見度。"
公園,[縣(市)長]新竹市,4,許明財,"一、遵守承諾：「新竹第一、市民至上」；達成目標：「拚經濟、顧生活，全民幸福」。
二、遵照本黨吳主席指示：「明白把每一分錢財，都用在市民身上」。
三、以「一帶二心三連結」為市政建設主軸，「掌舵未來」，「新『築』」夢智慧+」、「咱ㄟ未來新竹出發」。
四、一帶：在香山濱海地帶，打造一個「濱海生活紓壓帶」。
五、二心：從世博臺灣館到新竹公園，然後新竹火車站、東門商圈、中央市場、北門大街，打造一處「國際觀光旅遊中心」。再以升格商港的南寮港，打造一處具有漁村特色，還有激光、亮麗的綜合性出海口商圈，再向四周幅射出去的「濱海活力新中心」。
六、三連結：把新竹國道、鐵路和快速道路三種路網，連結在一起的「三路網連結」。即打造國道客運轉運站，讓國道客運通全臺；再把新竹鐵路地下化。然後，開闢連結西濱快速道路、國道3號道路茄苳交流道的「Ｒ1道路」；再透過臺68線、西濱快速道路等路網，串聯公道五、公道三（竹光路）景觀大道，形成完善交通路網。
七、兒童部分：擴大公辦幼兒園、提升幼兒教育課程、提升兒童營養午餐品質。
八、婦女部分：除了既有婦女政策，再首創「媽媽孕轉新方向」。
九、青年部分：提出科技青創出海口及在地文化創業輔導計畫。
十、延續所有老人福利政策，再擴大老人福利項目，讓長者樂活而有尊嚴。"
公園,[縣(市)長]新竹市,5,郭榮睿,"01：遷府
02：維護軍公教警消尊嚴及專業
03：食衣住行安全把關
04：生活與科技商區
05：開發工廠
06：成家者有其屋
07：老人照護住宅
08：未成年少女及孕婦輔導或收容中心
09：單親嬰幼兒托育收容中心
10： 全面設置市立育兒班、嬰幼兒法定疾病及臨時托育中心
11： 成立預防醫學研究所。創立自然科學科技發掘所。導引幼青少成年特有專長
12：兩岸直航
13：洋流發電
14：海水淡化
15：地下鐵路
16：統一殯葬標準準則，公墓公園化
17：為消費者把關
18：設立鞭刑"
共融,[縣(市)長]新竹市,3,黃源甫,"『新竹市長施政公約』 －－－ 白色力量黃源甫醫師給與新竹市民的承諾
白色力量、同行致遠、新竹變偉大、為世界之光，就像半導體產業一樣，是從科技首都新竹開始。醫生替人看病、不分藍綠，白色力量黃源甫醫師的參選，就是本著超越政黨的界限，政治是服務人民的、不是服務政黨為宗旨。
白色力量黃源甫醫師主張以〝陽光執政、全民參與〞做為落實為民服務的理念，《工程不收回扣》，就能達到最大效益的公共服務，並增加生育補助、育兒及安老津貼。白色力量黃源甫醫師在交通大學花了6年取得管理科學博士，以科學的方法，要將企業經營管理導入公務員文化，使得服務效率與服務品質並進；施政績效是要在效益與公平之間達到最適平衡。
白色力量黃源甫醫師作為新竹市長的兩大信條：SUNNY AND JOIN
 SUNNY：
【公開資訊】所有施政資訊，攤在陽光下公開透明，隨時讓市民檢核，讓市民相信公平正義，建立市民對政府的信任。
【政策透明】市政決策及預算執行，隨時都放在網站上，接受全民監督。
【開放共享】破除壟斷、特權、黑箱，共享自由、競爭、開放的優質環境。
【放下私心】沒有政黨包袱，一切政策都由市民作主，追求人民最大需求、最大公益為宗旨。
【多元文化】客觀面對歷史及各族群、新移民，創造多元文化社會的普世價值。
JOIN：
【市民參與】市民直接參與市政議題的提案發聲，直接打造宜居進步城市。
【溝通對話】事前溝通對話、避免事後衝突；衝突就會去變更計畫，以致預算大額鉅增，造成債留子孫。
【民間合作】政府力量有限，民間力量無窮，政府作莊，連結民間資源，落實分配正義，促進社會資源流動。
【創新分享】創新、努力是年輕人及弱勢者成功的機會，政府提供創新育成部門，分享成功者的創新經驗。
【世代共融】成就對每個世代都友善幸福的偉大城市，也是跨世代、跨年齡、跨越社會不同背景的互動融合。
政府花錢做公關與宣傳彷彿放煙火，只能維持短暫的印象分數，不能讓人民信任，新竹市政府應該要釋放正能量，讓每個選擇在這裡成家立業、育兒養老的人，每天有信心、樂於居住生活、實現夢想。
選舉費用太高是台灣政治敗壞的開始，這種人當選後一定能撈就撈、能A就A。讓我們就從現在開始，重建信任，透過這場選舉，成為改變政治文化的公民覺醒運動。作為新竹市長黃源甫明年初要和市民，攜手同行致遠、參加馬拉松全馬慢跑，展現體力、實力及耐力，讓新竹變偉大。"
公園,[縣(市)議員]新竹市第1選舉區,11,李國璋,"●教育與文化
1. 堅持反對不當性平教材進入校園，以免誤導與戕害學童之正確性觀念。
2. 重新檢討關埔國小校舍容積率、擴增就學名額不足問題。
3. 爭取於關埔二、三期用地新設市立國中，解決關埔國小學生畢業後升學問題。
4.爭取於二、三期用地中，興建小而美的地區圖書館。
5. 堅決反對大型劇團持續至本市演出，嚴重消耗有限預算，市府應有效扶植在地藝文團體、創造竹塹在地認同與文化活動。
●交通與財政　　
1. 持續爭取於新莊車站前興建立體停車場，解決關新公園周遭停車位嚴重不足問題。
2. 強力爭取市府積極規劃籌措財源，打通剩餘約二百公尺（竹市）進入園區（力行路）之塞車瓶頸並銜接新竹生活圈（竹縣）道路，將有效紓解竹北市與關東橋地區進出園區塞車問題。
3.堅持反對大而無當的大新竹車站計畫。
4.堅持反對180億元無效的輕軌計畫。
5. 結合議會其他黨團力量，強勢監督、制衡預算過度浮濫包裝飾政問題，債留子孫之惡習，必須有效遏阻！
●醫療與社會福利
1. 嚴格監督兒童醫院興建與營運品質，以及強力爭取解決台大分院湳雅院區用地取得問題。
2.推動完整脫貧計畫與全市各區設立區域福利服務中心。
●居住正義與生活品質
1. 反對於建功高中對面興建社會住宅，應另思考友善方案以落實居住正義。
2. 持續監督汙水下水道接管率過低、施工進度嚴重落後問題，市府每年接管率進度應達7%以上（目前僅3%），並爭取優先在大樓嚴重密集之關東橋地區鋪設。
3.持續爭取鋪設行人步道、倡導禮讓行人觀念。"
親子/公園,[縣(市)議員]新竹市第1選舉區,21,張祖琰,"█文化、教育
–推動興建現代化、館藏豐的市立圖書館。
–均衡東區國中小學發展，學生就近入學。
–檢討關埔地區國中容量，改善總量管制。
–慈雲路興建二樓空橋，照顧學生安全。
█交通運輸
–建構雙B公共運輸： Bike 接駁 Bus。
–推動UBike保險，保障騎乘者和第三人。
–規劃建置全新公車路網系統，使更便捷。
█青年、婦幼
–健全無障礙人行道方便娃娃車、輪椅族。
–光復路一、二段間增設親子館、圖書館。
–增辦幼兒成長、律動、統合等親子課程。
–公共場所增設親子廁所、集哺乳室。
–關埔二期闢建運動公園，推展運動健身。
█都市發展、公共建設
–整合各項市民生活資訊，建置入口網app。
–監督50億大車站計畫、水環境改善計畫。
–關埔二期建置共同管溝免除頻挖馬路之夢魘。
–加速都市更新，輔導老商圈、老舊宅之更新。
–推動香山濕地生態教育園區之再進化。
–加速興建污水下水道，改善河川水質。
█衛生、醫療
–監督兒童醫院案、台大湳雅院區擴建案。
–健全銀髮照護體系，強化長期照護系統。
–強化自殺防治體系，推廣心理衛生教育。
█動物福祉
–落實寵物源頭管理，防止任意棄養。
–愛護動物，推廣TNVR，落實零安樂死。
–辦理免費犬貓照顧訓練課程，鼓勵飼主參加。
張祖琰不變的初心～做小市民的代言人，以科技人的專業、穩健、真誠，懷抱環保心、婦幼情，服務市民，監督市政，並推動新竹市成為文化內涵豐富的科技城"
親子/公園,[縣(市)議員]新竹市第1選舉區,6,陳錫文,"熱忱服務、傾聽民意、為民喉舌、重視市民需求、強力監督市政、捍衛市民權益
教育：1、爭取建設科園國小運動場、東區圖書館、公辦K書中心、親子館、 老人關懷站、社區活動中心
            2、推動東區熱門國中、小學增設班級，提倡執行就近入學
            3、重視及推動體育發展
婦幼：1、督促設立婦幼兒童醫院
            2、推動增設公共場所哺集乳室及親子廁所、婦幼停車格
            3、推動增設公辦托嬰、幼稚園及課後安親
交通、公共建設：1、建置公車、汽車、機車專用道路，督促市府建置交通政策，解決市區、園區交通壅塞問題
                                2、	推動建置公園地下停車場，解決停車問題
                                3、廣設安全行人道、無障礙坡道及無障礙設施
                                4、監督各項土地開發，確保市民權益
環境、治安：1、監督政府嚴控園區工廠汙水、廢氣排放，落實環境保護
                        2、推動警政與社區、校園及商家合作，強化治安
社會福利：1、保障勞資雙方溝通權益，督促市府積極輔導失業勞工就業
                    2、強化勞工權益、婦幼保護、老人長照、身心障礙照顧、新移民適應等社會福利"
親子,[縣(市)議員]新竹市第1選舉區,2,曾文濤,"1.學童教育
○爭取關埔地區增設圖書空間，提升學生閱讀環境。
○ 推動幼兒教保服務公共化，提高公私合營幼兒園比例。
○落實國中小學班級增設冷氣，提升學生學習效率。
○ 推動各校建置通學步道，讓學生上學安心，家長放心。
2.婦幼友善
○推動完善的婦幼公設，增設親子廁所、哺乳室。
○爭取東區再增設一座多功能型的親子館。
○督促市府盡速完成醫學中心等級的兒童醫院。
3.長輩福利
○ 推動各社區共餐服務，提高長輩共餐食堂設置的普及率。
○ 推動老青共學活動，讓青年活力引領長輩，相互學習成長。
○ 推動專業機構培訓居服員，讓老人照顧之人力資源優質化。
4.體育環境
○ 督促市府盡速完成新竹市立棒球場改建計畫，並委由專業人士認養及維護。
○ 推動體育場升格為獨立業務單位，以體育專業角度提升新竹市的運動環境。
○ 打造三級棒球與社區棒球更優質的運動環境與資源，爭取風雨籃球場、網球場。
5.藝術文化
○ 打造關東市場大樓為客家文化示範區，傳承客家文化、精神與特質。
○ 支持興建國際展演中心、總圖書館計畫，提升藝文展演與閱讀空間。
○ 推動舊城區光榮再現，持續活化東門市場空間，優化硬體環境。
6.議會透明
○ 落實議會資訊透明化，會後公布會議紀錄及議事錄。
○ 落實議會網路直播，議事影片會後公開隨選觀賞。"
